country,ISO_code,region,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Central African Republic,CAF,Sub-Saharan Africa,2015,2.463762444,4.609898882,5,8.674074074,8.5,8,8.333333333,6.564141607,1.849276407,4.842252004,4.653956787,5.255901557,5.619156072,130,4.63,158,5.124578036,151,4
Chad,TCD,Sub-Saharan Africa,2015,3.364258024,5.038055998,8.333333333,7.987037037,6.5,7.523809524,5,6.938387562,2.76778205,6.352455917,5.155202215,4.947747979,5.634996495,128,5.23,152,5.432498247,146,4
Chile,CHL,Latin America & the Caribbean,2015,6.67672153,9.043604053,10,9.194444444,10,9.154761905,5,7.899381032,6.450117633,9.310170579,8.213421767,7.092824665,8.265002031,40,7.79,14,8.027501015,32,1
China,CHN,East Asia,2015,4.650841236,7.520505274,3.333333333,4.107777778,1.5,5.127521998,9.25,5.060334188,5.633083765,8.281163147,6.632616699,6.328628522,5.374699938,141,6.39,113,5.882349969,133,4
Colombia,COL,Latin America & the Caribbean,2015,4.465114576,5.193220915,8.333333333,9.014814815,10,7.563757674,10,6.844612333,3.793774688,8.026137533,6.914973382,7.170419033,6.905774455,85,6.55,103,6.727887227,86,3
"Congo, Dem. R.",COD,Sub-Saharan Africa,2015,2.736762078,6.321863063,1.666666667,8.008888889,,5.764091598,5,7.084661003,2.653119211,7.892834974,5.448274225,5.80104134,4.819612179,151,5.78,134,5.29980609,150,4
"Congo, Rep. Of",COG,Sub-Saharan Africa,2015,3.551855382,7.479228701,6.666666667,9.135185185,8.5,7.583333333,9.166666667,4.618671458,3.408225775,5.774533528,4.710024787,5.536996435,6.862956206,88,4.81,157,5.836478103,134,4
Costa Rica,CRI,Latin America & the Caribbean,2015,6.68397093,8.455304642,10,8.77037037,9.5,9.55952381,6.875,7.598125423,5.76898009,9.759381305,7.992057134,6.433113912,8.255308311,41,7.51,36,7.882654156,39,1
Cote d'Ivoire,CIV,Sub-Saharan Africa,2015,3.61714313,6.530030462,6.666666667,9.333333333,9.5,8.654761905,10,5.782209193,4.557106689,7.002306258,5.582966405,6.710914446,6.952269589,81,5.93,129,6.441134794,111,3
Croatia,HRV,Eastern Europe,2015,5.841496984,9.883538369,10,8.335185185,9,8.571428571,10,4.68388754,5.693974997,9.281726441,8.17801284,7.350503305,8.521920214,36,7.04,73,7.780960107,43,2
Cyprus,CYP,Eastern Europe,2015,6.858831213,9.661065819,10,7.487037037,8.5,9.404761905,10,7.268393185,5.836172166,9.686253954,8.219853784,7.438795108,8.669154152,32,7.69,22,8.179577076,28,1
Czech Republic,CZE,Eastern Europe,2015,7.647066539,9.889347447,10,8.272222222,9.5,9.523809524,9.25,5.245091097,6.239871315,9.575450886,8.209430675,8.185955592,9.038706671,20,7.49,37,8.264353336,24,1
Denmark,DNK,Western Europe,2015,8.723093731,9.849195699,10,7.739259259,9.5,9.69047619,10,4.108414157,8.246872137,9.609380791,8.41569965,8.352165515,9.336045903,5,7.75,16,8.543022951,8,1
Dominican Republic,DOM,Latin America & the Caribbean,2015,4.490078561,7.809106013,6.666666667,8.95,7.5,8.869047619,7.5,7.850075619,4.069636601,9.508289238,8.182444225,6.612166597,7.023367572,79,7.24,61,7.131683786,65,2
Ecuador,ECU,Latin America & the Caribbean,2015,4.205823615,8.795361784,10,7.583333333,6.5,7.94047619,10,5.82576134,3.893149081,8.098291578,6.532037884,6.086201446,7.452677302,66,6.09,124,6.771338651,83,3
Egypt,EGY,Middle East & North Africa,2015,3.510390695,5.591121401,1.666666667,4.107407407,3.5,6.494867192,0,6.034483575,3.479657954,8.779927322,5.596087033,4.971758069,3.852272151,157,5.77,138,4.811136075,155,4
